blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
12784757,1625686985,100000000000000000000000000,101796518705948507700000000,397992118777421784670024,100213023259958903683293061,0.015801294028241486,false
12784801,1625687029,100000000000000000000000000,101796518705948507700000000,397869841357386293399469,100192838033333305596249720,0.016005941183956374,false
12784845,1625687073,100000000000000000000000000,101796518705948507700000000,397748014560210080483054,100172735131582102440302974,0.016209835662702732,false
12784889,1625687117,100000000000000000000000000,101796518705948507700000000,397626637566593712295295,100152714410865525449503407,0.016412977968220277,false
12784933,1625687161,100000000000000000000000000,101796518705948507700000000,397505709561233212420001,100132775728067210275755894,0.01661536860218038,false
12784977,1625687205,100000000000000000000000000,101796518705948507700000000,397385229732804694998754,100112918940791462671003756,0.01681700806419162,false
12785021,1625687249,100000000000000000000000000,101796518705948507700000000,397265197273949093822831,100093143907360541854756589,0.01701789685180133,false
12785065,1625687293,100000000000000000000000000,101796518705948507700000000,397145611381256986598865,100073450486811960630521845,0.01721803546050027,false
12785109,1625687337,100000000000000000000000000,101796518705948507700000000,397026471255253513822968,100053838538895803273125104,0.01741742438372551,false
12785153,1625687381,100000000000000000000000000,101796518705948507700000000,396907776100383391702396,100034307924072059318992329,0.017616064112864205,false
12785197,1625687425,100000000000000000000000000,101796518705948507700000000,396789525124996018568212,100014858503507975252972752,0.017813955137256254,false
12785241,1625687469,100000000000000000000000000,101796518705948507700000000,396671717541330674226695,99995490139075422244840237,0.018011097944199195,false
12785285,1625687513,100000000000000000000000000,101796518705948507700000000,396554352565501811701537,99976202693348280650635378,0.018207493018949528,false
12785329,1625687557,100000000000000000000000000,101796518705948507700000000,396437429417484440823102,99956996029599841409600648,0.018403140844728272,false
12785373,1625687601,100000000000000000000000000,101796518705948507700000000,396320947321099603125243,99937870011800223575079760,0.018598041902722295,false
12785417,1625687645,100000000000000000000000000,101796518705948507700000000,396204905503999937514346,99918824504613808152738338,0.018792196672089423,false
12785461,1625687689,100000000000000000000000000,101796518705948507700000000,396089303197655336179416,99899859373396688478813845,0.018985605629960434,false
12785505,1625687733,100000000000000000000000000,101796518705948507700000000,395974139637338690216124,99880974484194136656631114,0.019178269251442837,false
12785549,1625687777,100000000000000000000000000,101796518705948507700000000,395859414062111724441841,99862169703738085830751567,0.019370188009624423,false
12785593,1625687821,100000000000000000000000000,101796518705948507700000000,395745125714810920882689,99843444899444628862730747,0.01956136237557593,false
12785637,1625687865,100000000000000000000000000,101796518705948507700000000,395631273842033530417696,99824799939411532758089021,0.01975179281835482,false
12785681,1625687909,100000000000000000000000000,101796518705948507700000000,395517857694123672069110,99806234692415768396890986,0.019941479805008377,false
12785725,1625687953,100000000000000000000000000,101796518705948507700000000,395404876525158519431868,99787749027911056937446527,0.020130423800576835,false
12785769,1625687997,100000000000000000000000000,101796518705948507700000000,395292329592934573739163,99769342816025431006060633,0.02031862526809647,false
12785813,1625688041,100000000000000000000000000,101796518705948507700000000,395180216158954023064923,99751015927558811809826039,0.020506084668603153,false
12785857,1625688085,100000000000000000000000000,101796518705948507700000000,395068535488411187167893,99732768233980601519503902,0.020692802461134807,false
12785901,1625688129,100000000000000000000000000,101796518705948507700000000,394957286850179047485829,99714599607427291164316204,0.020878779102735834,false
